id,url,title,title_clean,published_at,year,month,year_month,view_count,label_klarifikasi,topic,topic_name,word_count
63897,https://www.komdigi.go.id/berita/berita-hoaks/detail/hoaks-presiden-prabowo-minta-kapolri-beri-hukuman-berat-untuk-jokowi-atas-isu-ijazah,[HOAKS] Presiden Prabowo Minta Kapolri Beri Hukuman Berat untuk Jokowi atas Isu Ijazah,Presiden Prabowo Minta Kapolri Beri Hukuman Berat untuk Jokowi atas Isu Ijazah,2026-05-10 23:15:00,2026,5,2026-05,9,HOAKS,1,"Isu Politik, Korupsi, dan Tokoh Publik",107
63895,https://www.komdigi.go.id/berita/berita-hoaks/detail/hoaks-gubernur-papua-beri-dana-bantuan-melalui-nomor-whatsapp,[HOAKS] Gubernur Papua Beri Dana Bantuan Melalui Nomor WhatsApp,Gubernur Papua Beri Dana Bantuan Melalui Nomor WhatsApp,2026-05-10 23:10:00,2026,5,2026-05,7,HOAKS,15,Bantuan Sosial dan Tautan Pendaftaran Palsu,70
63894,https://www.komdigi.go.id/berita/berita-hoaks/detail/hoaks-anggaran-pengadaan-sepatu-sekolah-rakyat-kementerian-sosial,[HOAKS] Anggaran Pengadaan Sepatu Sekolah Rakyat Kementerian Sosial,Anggaran Pengadaan Sepatu Sekolah Rakyat Kementerian Sosial,2026-05-10 23:03:00,2026,5,2026-05,10,HOAKS,31,"Isu Politik, Korupsi, dan Tokoh Publik",169
63893,https://www.komdigi.go.id/berita/berita-hoaks/detail/hoaks-gubernur-papua-umumkan-dana-bantuan-rp147-miliar,[HOAKS] Gubernur Papua Umumkan Dana Bantuan Rp147 Miliar,Gubernur Papua Umumkan Dana Bantuan Rp147 Miliar,2026-05-10 23:00:00,2026,5,2026-05,10,HOAKS,15,Bantuan Sosial dan Tautan Pendaftaran Palsu,125
63892,https://www.komdigi.go.id/berita/berita-hoaks/detail/hoaks-indonesia-resmi-hentikan-ekspor-gas-ke-malaysia-dan-singapura,[HOAKS] Indonesia Resmi Hentikan Ekspor Gas ke Malaysia dan Singapura,Indonesia Resmi Hentikan Ekspor Gas ke Malaysia dan Singapura,2026-05-09 23:04:00,2026,5,2026-05,203,HOAKS,71,Topik Lainnya,154
63891,https://www.komdigi.go.id/berita/berita-hoaks/detail/hoaks-mantan-kepala-bp2mi-umumkan-dana-bantuan-untuk-tki-pada-mei-2026,[HOAKS] Mantan Kepala BP2MI Umumkan Dana Bantuan untuk TKI pada Mei 2026,Mantan Kepala BP2MI Umumkan Dana Bantuan untuk TKI pada Mei 2026,2026-05-09 23:03:00,2026,5,2026-05,92,HOAKS,85,Bantuan Sosial dan Tautan Pendaftaran Palsu,89
63890,https://www.komdigi.go.id/berita/berita-hoaks/detail/hoaks-akun-whatsapp-mengatasnamakan-kepala-dinas-komunikasi-informatika-sandi-dan-statistik-kabupaten-pandeglang-puji-widodo,"[HOAKS] Akun WhatsApp Mengatasnamakan Kepala Dinas Komunikasi Informatika, Sandi, dan Statistik Kabupaten Pandeglang Puji Widodo","Akun WhatsApp Mengatasnamakan Kepala Dinas Komunikasi Informatika, Sandi, dan Statistik Kabupaten Pandeglang Puji Widodo",2026-05-09 23:02:00,2026,5,2026-05,84,HOAKS,0,Penipuan WhatsApp Mengatasnamakan Pejabat/Instansi,157
63889,https://www.komdigi.go.id/berita/berita-hoaks/detail/hoaks-mahkamah-internasional-menyatakan-ijazah-jokowi-asli,[HOAKS] Mahkamah Internasional Menyatakan Ijazah Jokowi Asli,Mahkamah Internasional Menyatakan Ijazah Jokowi Asli,2026-05-09 23:01:00,2026,5,2026-05,100,HOAKS,1,"Isu Politik, Korupsi, dan Tokoh Publik",140
63885,https://www.komdigi.go.id/berita/berita-hoaks/detail/hoaks-vaksin-tbc-mengandung-nanobots,[HOAKS] Vaksin TBC Mengandung Nanobots,Vaksin TBC Mengandung Nanobots,2026-05-08 22:13:00,2026,5,2026-05,305,HOAKS,3,Kesehatan dan Vaksin COVID-19,99
63884,https://www.komdigi.go.id/berita/berita-hoaks/detail/hoaks-indonesia-bakal-pungut-tarif-ke-kapal-asing-yang-melintas-di-selat-malaka,[HOAKS] Indonesia Bakal Pungut Tarif ke Kapal Asing yang Melintas di Selat Malaka,Indonesia Bakal Pungut Tarif ke Kapal Asing yang Melintas di Selat Malaka,2026-05-08 22:10:00,2026,5,2026-05,226,HOAKS,69,"Isu Politik, Korupsi, dan Tokoh Publik",98
63883,https://www.komdigi.go.id/berita/berita-hoaks/detail/hoaks-video-donald-trump-kibarkan-bendera-putih,[HOAKS] Video Donald Trump Kibarkan Bendera Putih,Video Donald Trump Kibarkan Bendera Putih,2026-05-08 22:07:00,2026,5,2026-05,204,HOAKS,1,"Isu Politik, Korupsi, dan Tokoh Publik",66
