Topic,Count,Name,Representation,Representative_Docs
0,1471,0_whatsapp mengatasnamakan_mengatasnamakan_nomor_penipuan,"['whatsapp mengatasnamakan', 'mengatasnamakan', 'nomor', 'penipuan', 'bupati', 'pesan whatsapp', 'modus', 'modus penipuan', 'mengatasnamakan kepala', 'mengimbau']","['akun whatsapp mengatasnamakan pj bupati kapuas beredar akun whatsapp mengatasnamakan penjabat pj bupati kabupaten kapuas erlin hardi akun tersebut menggunakan nama dan foto profil pj bupati kapuas erlin hardi dengan nomor akun whatsapp yang beredar tersebut dan merupakan modus penipuan kip kapuaskab go id nomor tersebut merupakan modus penipuan dengan menyalahgunakan identitas pj bupati kabupaten kapuas erlin hardi masyarakat diimbau untuk selalu berhati hati apabila menemukan hal serupa dan mengabaikan pesan tersebut atau dapat mengkonfirmasi kebenarannya terlebih dahulu ke call center hoaks', 'akun whatsapp mengatasnamakan pj bupati bulungan haerumuddin beredar akun whatsapp mengatasnamakan penjabat pj bupati bulungan haerumuddin akun tersebut menggunakan nama dan foto profil haerumuddin bersama isteri mengenakan baju dinas akun whatsapp yang beredar tersebut dan merupakan modus penipuan radartarakan jawapos com nomor tersebut merupakan modus penipuan dengan menyalahgunakan identitas pj bupati kabupaten bulungan haerumuddin kepala dinas komunikasi informatika dan persandian kabupaten bulungan andriana menegaskan bahwa nomor yang beredar bukanlah milik pj bupati bulungan nomor tersebut adalah palsu dan melakukan aksi penipuan masyarakat diimbau untuk selalu berhati hati apabila menemukan hal serupa untuk mengabaikan pesan tersebut atau dapat mengonfirmasi kebenarannya terlebih dahulu ke pihak terkait hoaks', 'akun whatsapp mengatasnamakan wakil bupati batanghari beredar akun whatsapp yang mengatasnamakan wakil bupati batanghari h bakhtiar sp akun tersebut terlihat mengirimi pesan kepada pengurus masjid dengan modus akan memberikan bantuan donasi per tahun sekali untuk seluruh tempat ibadah di wilayah pemerintah kabupaten pemkab batanghari akun whatsapp yang mengatasnamakan wakil bupati batanghari adalah penipuan pemkab batanghari melalui akun instagram resminya pemkabbatanghari mengklarifikasi bahwa akun whatsapp tersebut merupakan modus penipuan pihaknya mengimbau agar berhati hati terhadap modus penipuan yang mengatasnamakan pejabat pemkab batanghari hoaks']"
1,1261,1_presiden_jokowi_presiden jokowi_prabowo,"['presiden', 'jokowi', 'presiden jokowi', 'prabowo', 'joko widodo', 'joko', 'widodo', 'presiden joko', 'prabowo subianto', 'subianto']","['presiden joko widodo menemukan dokumen rahasia buat prabowo subianto tidak bisa jadi presiden unggahan video di facebook yang mengeklaim bahwa presiden joko widodo jokowi berhasil menemukan dokumen rahasia yang membuat menteri pertahanan menhan prabowo subianto tidak bisa menjadi presiden terlihat pada thumbnail video tersebut gambar presiden jokowi sedang menyampaikan pidato dengan narasi semua terkejut prabowo tak bisa jadi presiden jokowi temukan dokumen rahasia di istana kompas com klaim yang menyebutkan bahwa presiden jokowi berhasil menemukan dokumen rahasia yang membuat prabowo subianto tidak bisa menjadi presiden adalah keliru tidak ditemukan informasi yang kredibel terkait klaim yang beredar karena sang narator hanya membacakan artikel yang memuat opini terkait ketidakpantasan prabowo subianto menjadi seorang presiden sementara itu beberapa cuplikan video yang termuat dalam unggahan video tersebut pun tidak berkaitan dengan klaim penemuan dokumen rahasia oleh presiden jokowi terkait prabowo subianto hoaks', 'presiden prabowo tunjuk joko widodo jadi ketua umum partai gerindra unggahan foto di tiktok yang mengeklaim bahwa presiden prabowo subianto menunjuk joko widodo jokowi sebagai ketua umum ketum partai gerindra unggahan foto tersebut berisi narasi prabowo tunjuk jokowi ketum gerindra banteng panik presiden prabowo menunjuk jokowi sebagai ketum partai gerindra yang baru tirto id foto presiden prabowo bersama jokowi adalah kunjungan balasan dari jokowi ke kediaman presiden prabowo seperti diketahui pada november lalu presiden prabowo telah mengunjungi kediaman jokowi di kota solo provinsi jawa tengah adapun foto yang diunggah mengarah ke tribunnews com dengan judul pertemuan presiden prabowo subianto dengan presiden ke ri joko widodo pada jum at desember selain itu hoaks yang beredar berdasarkan narasi soal pemecatan jokowi dari partai demokrasi indonesia perjuangan pdip hingga saat ini presiden prabowo subianto masih tercatat sebagai ketum partai gerindra hoaks', 'presiden jokowi tawarkan gibran rakabuming raka jadi cawapres anies baswedan video di platform youtube yang mengeklaim bahwa presiden joko widodo jokowi mendatangi anies baswedan untuk menawarkan putranya gibran rakabuming raka menjadi pasangan calon wakil presiden cawapres di pemilihan presiden pilpres merdeka com klaim presiden jokowi mendatangi anies baswedan untuk menawarkan putranya gibran rakabuming raka menjadi pasangan cawapres di pilpres adalah foto yang serupa ditemukan pada situs voaindonesia com berjudul bertemu jokowi anies sandi tidak bahas reklamasi foto tersebut diambil pada pertemuan presiden jokowi dengan anies baswedan dan sandiaga uno di istana merdeka pada rabu oktober namun narator justru membacakan delapan kesepakatan kerja sama dari hasil pertemuan presiden jokowi dan xi jinping yang tidak ada kaitannya sama sekali dengan klaim yang disebutkan dalam judul video disinformasi']"
2,510,2_facebook mengatasnamakan_bupati_mengatasnamakan_palsu,"['facebook mengatasnamakan', 'bupati', 'mengatasnamakan', 'palsu', 'mengatasnamakan bupati', 'profil', 'foto profil', 'wali kota', 'wali', 'menggunakan foto']","['akun facebook mengatasnamakan bupati murung raya perdie m yoseph beredar di facebook sebuah akun yang mengatasnamakan bupati murung raya perdie m yoseph akun tersebut terlihat menggunakan nama serta foto profil dari bupati murung raya perdie m yoseph murungrayakab go id bupati murung raya perdie m yoseph secara pribadi memberikan klarifikasi serta mengimbau masyarakat untuk tidak menanggapi pesan yang mengatasnamakan dirinya dalam bentuk apapun karena akun tersebut terindikasi hoaks dan disinyalir memiliki tujuan dengan motif tertentu hoaks', 'akun facebook mengatasnamakan pj bupati gayo leus suhaidi s pd m si beredar akun facebook yang mengatasnamakan penjabat pj bupati gayo leus suhaidi s pd m si akun tersebut terlihat menggunakan foto profil bupati suhaidi dengan nama akun suhaidi msi akun facebook tersebut bukan milik dari pj bupati bupati gayo leus suhaidi s pd m si baranewsaceh co akun facebook tersebut merupakan akun palsu dengan modus penipuan pemerintah kabupaten gayo lues melalui dinas komunikasi dan informatika diskominfo secara resmi mengeluarkan peringatan kepada masyarakat untuk tidak melayani permintaan pertemanan pesan atau bentuk komunikasi apa pun dari akun tersebut dan dipastikan bahwa akun tersebut bukan akun resmi milik bupati suhaidi dinas komunikasi dan informatika diskominfo juga menegaskan bahwa segala bentuk komunikasi resmi dari bupati gayo lues dilakukan melalui saluran dan akun yang telah terverifikasi oleh pemerintah daerah hoaks', 'akun facebook mengatasnamakan bupati labuhanbatu selatan beredar akun facebook mengatasnamakan bupati labuhanbatu selatan h edimin akun tersebut terlihat menggunakan nama dan foto profil h edimin dinas komunikasi dan informatika diskominfo kabupaten labuhanbatu selatan melalui akun facebook resminya diskominfolabusel mengklarifikasi bahwa akun facebook yang beredar tersebut adalah akun palsu pihaknya mengimbau kepada masyarakat agar berhati hati terhadap penipuan yang mengatasnamakan bupati labuhanbatu selatan h edimin hoaks']"
3,575,3_vaksin_vaksin covid_vaksinasi_vaksinasi covid,"['vaksin', 'vaksin covid', 'vaksinasi', 'vaksinasi covid', 'pfizer', 'divaksin', 'sinovac', 'efek', 'uji', 'dosis']","['penerima vaksin sinovac tidak boleh melakukan booster vaksin covid pfizer atau moderna pesan berantai pada aplikasi whatsapp pesan tersebut mengklaim bahwa orang yang sudah menerima vaksin sinovac tidak bisa mendapat booster vaksin covid pfizer atau moderna pada pesannya diceritakan bahwa ada seorang dokter yang sudah menerima vaksin sinovac meninggal dunia akibat booster menggunakan vaksin covid mrna pfizer klaim bahwa penerima vaksin sinovac tidak dapat booster vaksin covid pfizer atau moderna tersebut adalah juru bicara vaksinasi covid kementerian kesehatan ri dr siti nadia tarmizi menerangkan bahwa sampai saat ini tindakan booster pakai vaksin covid pfizer atau moderna bagi yang telah menerima vaksin sinovac masih aman dan dapat dilakukan ketua komisi nasional kejadian ikutan pasca imunisasi komnas kipi hindra irawan satari menambahkan bahwa pesan berantai tersebut sejauh ini tidak ada laporan yang diterima komnas kipi terkait vaksin moderna digunakan untuk booster hoaks', 'kepala peneliti pfizer sebut vaksin covid untuk sterilisasi wanita informasi yang mengklaim bahwa vaksin covid bisa menyebabkan sterilisasi pada wanita kabar tersebut bermula dari sebuah artikel berbahasa inggris dengan judul kepala penelitian pfizer vaksin covid merupakan sterilisasi untuk wanita dalam artikel itu tertulis vaksin covid mengandung protein yang disebut dengan syncytin zat itu diduga bisa mempengaruhi plasenta pada manusia akibatnya kandungan protein dalam vaksin saat membentuk imunitas bisa menyebabkan kemandulan berdasarkan penelusuran kumparan com yang mengutip dari lembaga factcheck org merupakan kabar hoaks tidak ada vaksin covid yang telah disetujui mengandung syncytin hasil penelitian tersebut ditegaskan oleh american college of obstetricians and gynecologists pada februari dalam laporan itu menyebutkan pada penelitian terbatas tersebut tidak ada masalah kemandulan dari ribuan peserta uji coba vaksin covid dalam studi vaksin moderna yang dilakukan pada hewan juga tidak menunjukkan dampak pada reproduksi wanita bahkan turunnya kesuburan akibat efek samping dari vaksin covid juga belum ditemukan dalam sejumlah penelitian oleh pusat pengendalian dan pencegahan penyakit amerika serikat cdc disinformasi', 'vaksin covid yang diberikan ke pejabat negara adalah plasebo yang mengklaim bahwa vaksin covid yang diberikan kepada pejabat negara merupakan vaksin plasebo hal itu dikaitkan dengan nomor yang tertera pada botol vaksin dimana data vaksin semua pejabat negara bernomor id 70251501cov dosis dan dosis angka di belakang disebut menunjukkan kode plasebo adalah keliru kompas com humas badan pengawas obat dan makanan bpom menegaskan bahwa vaksin yang telah mendapat izin edar bukanlah plasebo sampai saat ini ada vaksin covid yang sudah mendapatkan izin penggunaan dan bpom tidak mengeluarkan izin untuk vaksin plasebo terkait nomor id yang disebut dalam beredar kemungkinan besar adalah nomor batch nomor batch pada sejumlah botol akan sama karena itu adalah kode produksi untuk melacak satu set produk identik juru bicara vaksin covid dari pt bio farma bambang heriyanto menjelaskan kemasan vaksin sinovac yang digunakan di indonesia umumnya berisi nama produk komposisi vaksin petunjuk penyimpanan nama produsen nomor batch expired date atau production date dan precaution jika harus resep dokter adapun mengutip dari artikel kompas berjudul pfizer tawarkan vaksin covid kepada relawan yang mendapat plasebo dijelaskan bahwa vaksin plasebo hanya diberikan kepada relawan saat uji klinis vaksin covid untuk melihat potensi suatu obat atau vaksin disinformasi']"
4,487,4_lowongan_lowongan kerja_kerja_pekerjaan,"['lowongan', 'lowongan kerja', 'kerja', 'pekerjaan', 'lowongan pekerjaan', 'tautan', 'rekrutmen', 'pendaftaran', 'puskesmas', 'kerja mengatasnamakan']","['lowongan kerja pt surveyor indonesia facebook yang berisi informasi lowongan pekerjaan di pt surveyor indonesia lowongan tersebut menawarkan beberapa posisi dan pelamar diarahkan untuk menghubungi melalui whatsapp jika berminat turnbackhoax id informasi lowongan kerja tersebut adalah situs bersamabumn com tidak terdapat unggahan serupa yang menunjukan adanya pembukaan lowongan pekerjaan secara besar besaran selain itu pt surveyor indonesia juga tidak pernah mencantumkan nomor whatsapp pada saat proses rekrutmen pegawai hoaks', 'lowongan pekerjaan atau rekrutmen pt panasonic facebook yang memberikan informasi lowongan pekerjaan atau rekrutmen di pt panasonic dalam unggahan tersebut disertai dengan tautan untuk pendaftaran klaim adalah turnbackhoax id setelah mengakses tautan yang tersemat dalam unggahan tautan tersebut tak mengarah ke laman resmi pt panasonic warganet justru diminta mengisi nama lengkap sesuai ktp dan nomor telegram aktif selain itu tidak ditemukan informasi lowongan kerja atau rekrutmen dalam laman resmi hoaks', 'tautan pendaftaran lowongan kerja pt adaro indonesia unggahan video di tiktok yang berisi informasi lowongan pendaftaran kerja di pt adaro indonesia pada profil akun tersebut tertera sebuah tautan yang diklaim merupakan tautan pendaftaran lowongan tersebut adalah turnbackhoax id tautan yang ada pada profil tidak mengarah ke laman resmi pt adaro adaroindonesia com para pendaftar justru diminta menuliskan nama lengkap dan nomor handphone yang terhubung dengan akun telegram setelah menelusuri informasi lowongan pekerjaan di laman karier adarocareer com ada sejumlah lowongan kerja yang saat ini dibuka untuk lulusan baru hingga profesional namun tidak ada lowongan untuk posisi yang tertera sebagaimana dalam unggahan akun tiktok tersebut dan perusahaan juga tidak pernah mencantumkan nominal gaji dalam informasi resminya sudah dipastikan bahwa informasi ini merupakan phishing atau penipuan']"
5,480,5_surat_undangan_bkn_mengatasnamakan,"['surat', 'undangan', 'bkn', 'mengatasnamakan', 'surat edaran', 'edaran', 'surat undangan', 'ojk', 'surat mengatasnamakan', 'surat palsu']","['surat undangan penyerahan sk cpns tahap bkn kantor regional surabaya hasil tangkapan layar berupa surat undangan penyerahan surat keputusan sk calon pegawai negeri sipil cpns tahap pemerintah provinsi jawa timur mengatasnamakan badan kepegawaian negara kantor regional ii bkn kanreg ii surabaya surat tersebut ditujukan kepada orang cpns yang namanya disertakan pula pada surat beredar itu surat undangan penyerahan sk cpns tahap pemerintah provinsi jawa timur mengatasnamakan bkn kanreg ii surabaya tersebut adalah bkn kanreg ii surabaya melalui akun instagram resminya bkn2surabaya menegaskan bahwa surat tersebut adalah palsu alias hoaks hoaks', 'surat mengatasnamakan bkn tentang peserta cpns membayar administrasi sebesar ribu untuk pembekalan beredar di surat mengatasnamakan bkn badan kepegawaian negara di denpasar yang berisi tentang calon pegawai negeri sipil cpns perlu membayar uang administrasi sebesar ribu jika ingin mengikuti pembekalan dalam surat tersebut disebutkan akan ada kegiatan pembekalan cpns di lingkungan pemerintah provinsi kota dan kabupaten yang dilaksanakan tanggal dan november instagram resmi bkn bkngoidofficial surat tersebut palsu dan bukan merupakan produk mereka pihak bkn dalam melakukan seleksi cpns tidak melakukan pemungutan biaya bkn sudah beberapa kali menyanggah surat palsu yang beredar terkait pns bulan lalu ada dokumen palsu yang beredar mengenai status pengangkatan pns bkn pun mengingatkan bahaya penipuan yang biasanya berkaitan surat keputusan sk dan simulasi tes cpns hoaks', 'surat undangan seminar nasional bimtek februari mengatasnamakan lan ri surat mengatasnamakan lembaga administrasi negara republik indonesia lan ri dalam surat tersebut tertulis undangan seminar nasional bimtek yang akan dilaksanakan pada februari di bogor jawa barat surat tersebut menggunakan kop surat seolah dikeluarkan oleh lan ri surat undangan seminar nasional bimtek yang mengatasnamakan lan ri tersebut dan bukan merupakan surat resmi yang dikeluarkan oleh lan ri pada resmi milik lan ri lan ri diklarifikasi bahwa surat tersebut bukan surat asli yang dirilis lan ri surat yang beredar tersebut merupakan surat palsu lan ri mengimbau masyarakat agar waspada dengan beredarnya surat tersebut informasi mengenai lan ri dapat dilihat pada halaman atau pada resmi milik lan ri disinformasi']"
6,392,6_corona_pasien_positif_positif corona,"['corona', 'pasien', 'positif', 'positif corona', 'virus', 'terinfeksi', 'rsud', 'pasien corona', 'china', 'corona covid']","['pasien terjangkit corona di rshs bandung di twitter yang menyebutkan bahwa di rshs bandung sudah ada seorang yang fiks kena corona menurut staf khusus presiden bidang sosial angkie yudistia ia mengatakan bahwa dua pasien yang diduga terpapar corona di rumah sakit hasan sadikin rshs bandung itu hoaks selain itu juga dibantah oleh direktur utama rshs jawa barat nina susana dewi yang mengatakan agar masyarakat tidak resah dan gelisah terhadap dugaan dua pasien yang terpapar corona ia pun menegaskan jika informasi di luar yang menyebutkan adanya pasien positif terkena corona itu hoaks hoaks', 'pasien di makasar positif corona telah beredar pesan berantai whatsapp mengatakan bahwa ada pasien di salah satu rumah sakit di makasar sulawesi selatan positif corona menurut kepala dinas kesehatan kota makassar dr naisyah tun azikin hingga saat ini belum ada satupun warga makassar yang terjangkit corona jadi kami tegaskan belum ada satupun warga makassar yang terjangkit corona yang beredar kabar itu hanya hoax ujar naisyah hoaks', 'pasien corona di rsud bahteramas beredar pesan di sebuah informasi tentang adanya pasien tenaga kerja asing tka yang dirawat rsud bahteramas akibat terjangkit corona setelah di telusuri plt dirut rsud bahteramas kendari dr sjarif subijakto menegaskan bahwa kabar adanya satu pasien positif corona yang dirawat di rsud bahteramas atau hoaks karena sampai saat ini belum ada pasien suspect yang diduga tertular corona terkait adanya wabah penyebaran corona beliau menghimbau masyarakat agar tidak perlu panik menghadapi kasus ini masyarakat juga diminta untuk meningkatkan kewaspadaan saja dengan menerapkan pola hidup bersih dan sehat phbs hoaks']"
7,584,7_masjid_islam_agama_muslim,"['masjid', 'islam', 'agama', 'muslim', 'al', 'rizieq', 'habib', 'salat', 'umat', 'ulama']","['masjid masjid di china kembali terbuka setelah china dilanda corona telah video di sosial media dengan mengatakan bahwa setelah china dilanda corona allah beri hadiah kepada umat muslim di china yaitu terbukanya masjid masjid di seluruh daratan china informasi dalam video tersebut adalah keliru karena hanya ada satu masjid yang terletak di provinsi qinghai yaitu masjid dongguan selain itu berdasarkan penelusuran tidak ditemukan berita yang mengatakan bahwa masjid dongguan kembali dibuka setelah sebelumnya situs fatabayyano net mengabarkan bahwa masjid tersebut ditutup berdasarkan kebijakan pemerintahnya artinya narasi dengan video yang diunggah oleh akun akun di adalah tidak berhubungan dan keliru disinformasi', 'islam tdk boleh ditegakkan hoaks beredar di pesan berantai yang berisi informasi tentang peristiwa di angola di mana agama islam dilarang dan tidak diakui isi dari pesan berantai tersebut angola byk utang ma cina konsekuen nya islam tdk boleh ditegakkan byk mesjid ditutup akhirnya pd sholat di jalanan ditembaki oleh polisi hello muslim indonesia elo mau digituin jangan sampai indonesia seperti anggola setelah tak boleh bayar hutang sama cina maka negara itu tidak bisa berbuat apa apa karena semua apa yang ada di anggola telah di kuasai cina ummat muslim dkriminalisasi mesjid ditutup dan lain lainnya selain itu banyak masjid yang dirubuhkan dan dibakar karena dianggap ilegal dan tak berizin pesan itu menyebar secara viral dan meminta umat islam bereaksi informasi yang beredar mengenai pelarangan islam dan pembakaran serta pengrusakan masjid di angola atau hoaks kejadian itu memang pernah terjadi tahun lalu namun saat ini islam sudah diterima di angola', 'takmir masjid kauman larang prabowo jum atan hoaks disinformasi telah beredar postingan atau berita di facebook yang menjelaskan tentang tuh kan kh hanief ismail takmir masjid kauman yang larang prabowo jum atan dengan dalih masjid bukan untuk politik prabowo menjelaskan saya kira takmir masjid sudah benar bahwa siapa pun boleh menunaikan salat jumat di masjid agung kauman semarang yang beliau masalahkan itu kan adanya pamflet dan spanduk di sekitar masjid apakah itu dibenarkan menurut peraturan perundang undangan meskipun bentuknya hanya ucapan selamat datang dan pemberitahuan atau undangan untuk melaksanakan salat jumat bersama pak prabowo kata wakil ketua umum mui zainut tauhid sa adi saat dihubungi detik com kamis malam sedangkan takmir masjid sendiri menjelaskan sebelumnya takmir masjid kauman semarang keberatan dengan adanya pamflet ajakan yang tersebar di medsos serta spanduk selamat datang dan poster capres cawapres nomor di dekat masjid kauman pihak masjid tidak melarang prabowo untuk salat jumat hanya saja khawatir pamflet dan spanduk itu membuat masjid seolah menjadi tempat berpolitik saat ini selain postingan pamflet dihapus spanduk dan poster di dekat masjid kauman sudah dicabut']"
8,284,8_china_cina_tka_tiongkok,"['china', 'cina', 'tka', 'tiongkok', 'tentara', 'asing', 'warga negara', 'tenaga kerja', 'pekerja', 'bahasa']","['tni sebut cina sudah sangat berharga untuk indonesia yang mengeklaim bahwa tni mundur terhadap cina karena dianggap telah berjasa bagi negara unggahan tersebut berisi narasi wn china menyerang tni di ketapang kalimantan barat tni kita memilih mundur bukan takut tapi china sudah sangat berjasa bagi negara kita klaim bahwa tni sebut cina sudah sangat berharga untuk indonesia turnbackhoax id tidak ditemukan pernyataan resmi regulasi maupun pemberitaan kredibel yang menyebut tni sebut china sudah sangat berharga untuk indonesia setelah ditelusuri foto yang digunakan merupakan foto kepala pusat penerangan kapuspen tni freddy ardianzah dalam konferensi pers gladi bersih jelang hari ulang tahun hut ke tni kemudian foto yang diduga menampilkan rombongan warga negara cina merupakan gambar lama yang menampilkan ratusan tenaga kerja asing tka asal cina yang pulang kampung melalui bandara sultan babullah akehuda ternate utara menuju jakarta pada mei tidak terdapat pernyataan yang menyebutkan tni mundur terhadap warga negara cina karena dianggap berjasa bagi negara', 'empat puluh ribu tka china di morowali sedang dalam pengawasan karantina beredar kabar di media asing perancis france24 mengungkap adanya empat puluh ribu tenaga kerja asing asal china yang sedang dalam pengawasan karantina dan mempersoalkan banyaknya jumlah tenaga kerja asing setelah ditelusuri media dengan nama france24 memang memuat sebuah artikel berita berjudul thousands on virus lockdown at china backed plant in indonesia di laman situs france24 com pada januari namun klaim adanya ribu tenaga kerja asal china di morowali yang sedang dalam pengawasan pada artikel berita france24 jumlah tenaga kerja asal china yang ditulis sebagai guest workers from mainland china hanya sekitar angka lebih dari yang dimaksud adalah sekitar merupakan jumlah keseluruhan pekerja yang ada di pt indonesia morowali industrial park baik tenaga kerja lokal maupun tenaga kerja asing disinformasi', 'eksodus tenaga kerja asing china ilegal ke indonesia beredar di facebook dengan narasi ngeri indonesia akan menjadi palestina ke eksodus pendatang ilegal orang orang yahudi ke palestina tidak bisa bahasa arab eksodus tka cina ilegal ke indonesia tidak bisa bahasa indonesia setelah ditelusuri melalui liputan6 com kabar tentang eksodus tenaga kerja asing tka china ilegal ke indonesia ternyata isu ini pernah beredar pada tahun namun dibantah menteri ketenagakerjaan hanif dhakiri dengan tegas dia memastikan tak ada eksodus atau banjir pekerja asal china di indonesia per mei jumlah tka asal china sebesar orang disinformasi']"
9,262,9_suara_kpu_pemilu_pemilihan,"['suara', 'kpu', 'pemilu', 'pemilihan', 'surat suara', 'pemilihan umum', 'pilkada', 'tps', 'kotak', 'pilpres']","['data kpu hasil pemilu sudah jadi video yang mengeklaim bahwa hasil pemilihan umum pemilu sudah disiapkan oleh komisi pemilihan umum kpu video tersebut disertai narasi ini data kpu hasil pemilu luar biasa negeri ini memang sakti pemungutan suara belum dilakukan hasilnya sudah ditentukan dilansir medcom id klaim yang menyebut bahwa hasil pemilu sudah disiapkan oleh kpu adalah salah ketua kpu hasyim asy ari menegaskan bahwa video viral tersebut tidak masuk akal dan mengada ada sementara itu pemilu baru akan digelar pada februari mendatang saat ini kpu masih melakukan sejumlah tahapan menuju pemilu hoaks', 'ketuk palu surat suara terbanyak ada di kecamatan kantor camat disinformasi pesan berantai di whatsapp mengenai ajakan untuk mengawal suara ajakan tersebut mengajak kubu pendukung capres tertentu untuk mengawasi penghitungan suara di kantor kecamatan hal tersebut dikarenakan penghitungan suara yang dianggap sah oleh kpu bukan di tps atau c5 melainkan surat suara di kecamatan kantor camat penghitungan surat suara sudah dilakukan mulai dari tps masing masing wilayah secara manual kemudian rekapitulasi suara akan dilakukan secara bertingkat mulai dari tingkat desa atau kelurahan kemudian rekapitulasi suara di tingkat kabupaten kota oleh kpu kabupaten kota rekapitulasi suara tingkat provinsi oleh kpu provinsi yang nantinya akan bermuara pada rekapitulasi hasil penghitungan suara di seluruh kpu provinsi oleh kpu ri sehingga penghitungan surat suara di tps sudah dianggap sah oleh kpu bahkan kpu akan mendahulukan penghitungan suara pilpres di tps terlebih dahulu untuk mempercepat dan mempermudah proses penghitungan serta kpu juga menilai hal ini akan membuat masyarakat lebih antusias mengawal proses pemilu', 'hasil exit poll pemilu di luar negeri beredar di situs dan twitter x tangkapan layar hasil perhitungan sementara exit poll pemilihan umum pemilu dari ketiga pasangan calon paslon di melbourne australia medcom id komisi pemilihan umum kpu ri menyebut hasil penghitungan sementara atau exit poll yang beredar di dari hasil pemilu di melbourne australia kpu juga membantah adanya hasil penghitungan suara pilpres di luar negeri sementara itu ketua kpu ri hasyim asy ari menegaskan kpu melarang adanya hasil exit poll hingga jajak pendapat atau survei tentang pemilu pada masa tenang dalam peraturan komisi pemilihan umum pkpu nomor tahun masa tenang pemilu dimulai pada minggu februari pengambilan suara memang sudah dilakukan di luar negeri sejak awal februari namun penghitungan baru akan dilakukan serentak pada februari hoaks']"
